PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s710470717,27-Jan-2024 15:00,6,4,6,5,4,4,5,3,4,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,5,5.5,4,4,5
s710470717,01-Feb-2024 15:00,5,5,7,6,4,4,5,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,6.5,4,4.5,4
s710470717,27-Jan-2024 20:00,5,6,6,4,4,4,4,3,4,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,5.5,5,4,3.5,4
s710470717,27-Jan-2024 10:00,6,4,6,5,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5,5.5,3,3,4
s710470717,26-Jan-2024 15:00,4,5,5,5,5,5,4,3,4,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4.5,5,5,3.5,3.5
s710470717,29-Jan-2024 17:30,2,4,3,3,4,4,5,5,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,3,3,4,5,3
s710470717,31-Jan-2024 15:00,7,5,7,7,5,5,3,2,5,5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,6,7,5,2.5,5
s710470717,29-Jan-2024 22:30,6,5,5,3,5,4,6,5,4,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5.5,4,4.5,5.5,4.5
s710470717,29-Jan-2024 12:30,3,4,5,4,6,6,4,2,4,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.5,4.5,6,3,4
s710470717,01-Feb-2024 10:00,4,4,7,6,5,5,6,5,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,4,6.5,5,5.5,4.5
s710470717,28-Jan-2024 17:30,6,6,6,6,5,6,4,3,5,5,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,6,6,5.5,3.5,5
s710470717,26-Jan-2024 20:00,6,5,6,5,4,3,5,5,4,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,5.5,5.5,3.5,5,4.5
s710470717,26-Jan-2024 10:00,5,5,4,3,5,5,4,4,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,5,3.5,5,4,3
s710470717,29-Jan-2024 10:00,3,6,5,4,6,6,4,3,3,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,0,4.5,4.5,6,3.5,3
s710470717,28-Jan-2024 20:00,6,6,6,5,5,5,5,2,3,5,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,6,5.5,5,3.5,4
s710470717,27-Jan-2024 17:30,2,5,5,5,5,5,3,3,5,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3.5,5,5,3,4.5
s710470717,26-Jan-2024 17:30,6,5,5,5,3,5,5,3,5,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5.5,5,4,4,4
s710470717,27-Jan-2024 12:30,6,5,6,5,3,5,4,2,5,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,5.5,5.5,4,3,5
s710470717,27-Jan-2024 22:30,6,6,6,5,5,6,3,2,6,5,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,6,5.5,5.5,2.5,5.5
s710470717,01-Feb-2024 17:30,6,6,6,6,5,5,5,3,4,4,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,6,6,5,4,4
s710470717,30-Jan-2024 10:00,6,4,6,5,6,6,4,3,6,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,5,5.5,6,3.5,5.5
s710470717,30-Jan-2024 20:00,6,4,7,6,6,6,5,3,5,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,6.5,6,4,5.5
s710470717,28-Jan-2024 12:30,2,5,4,3,5,5,3,3,4,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,0,3.5,3.5,5,3,4.5
s710470717,28-Jan-2024 22:30,4,4,4,4,3,6,6,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4,4,4.5,4.5,3.5
s710470717,30-Jan-2024 15:00,6,3,6,5,5,5,5,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4.5,5.5,5,4,4.5
s710470717,31-Jan-2024 20:00,6,6,7,7,7,6,4,4,6,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,7,6.5,4,6
s710470717,30-Jan-2024 17:30,6,5,6,6,6,6,3,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.5,6,6,2.5,5.5
s710470717,01-Feb-2024 12:30,5,3,7,7,5,5,6,4,5,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,4,7,5,5,5.5
s710470717,31-Jan-2024 17:30,7,5,7,7,7,7,5,4,6,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,7,7,4.5,6
s710470717,31-Jan-2024 12:30,6,5,6,7,5,5,3,2,6,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5.5,6.5,5,2.5,5.5
s710470717,29-Jan-2024 15:00,4,5,5,6,6,6,5,3,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,5.5,6,4,5
s710470717,26-Jan-2024 12:30,1,3,4,3,2,4,3,3,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,3.5,3,3,3.5
s710470717,28-Jan-2024 15:00,5,5,6,4,6,5,4,3,5,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,5,5,5.5,3.5,5.5
s710470717,30-Jan-2024 22:30,7,5,6,5,5,6,3,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,6,5.5,5.5,3,5.5
s710470717,30-Jan-2024 12:30,6,3,5,6,5,5,5,4,3,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,4.5,5.5,5,4.5,4
