PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s179738205,11-Jan-2024 17:30,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,3,3,3
s179738205,19-Jan-2024 12:30,2,3,4,4,4,3,3,2,2,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2.5,4,3.5,2.5,3
s179738205,27-Jan-2024 10:00,4,5,3,5,3,5,1,1,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4.5,4,4,1,4
s179738205,12-Jan-2024 19:00,3,3,4,5,1,2,1,1,3,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,4.5,1.5,1,4
s179738205,10-Jan-2024 12:30,4,4,5,5,3,3,2,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,5,3,2,3.5
s179738205,26-Jan-2024 10:00,1,3,1,4,3,4,1,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2,2.5,3.5,1,3.5
s179738205,12-Jan-2024 14:00,2,3,3,2,2,2,2,2,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,2.5,2.5,2,2,3.5
s179738205,13-Jan-2024 09:00,1,2,3,3,1,3,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,0,1.5,3,2,1,1.5
s179738205,13-Jan-2024 19:00,4,4,4,4,1,2,2,1,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,4,1.5,1.5,3.5
s179738205,27-Jan-2024 12:30,2,4,4,4,5,4,2,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,4,4.5,1.5,2
s179738205,19-Jan-2024 10:00,3,4,3,4,3,4,2,3,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.5,3.5,3.5,2.5,4
s179738205,13-Jan-2024 11:30,3,3,5,5,2,2,1,1,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,0,3,5,2,1,6
s179738205,12-Jan-2024 10:00,3,4,3,4,1,4,1,1,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,2.5,1,2.5
s179738205,11-Jan-2024 20:00,5,3,2,5,5,5,2,1,5,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3.5,5,1.5,5.5
s179738205,10-Jan-2024 10:30,4,5,3,5,6,6,2,1,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,4,6,1.5,5.5
s179738205,10-Jan-2024 15:00,3,1,3,5,5,5,3,2,4,4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,4,5,2.5,4
