PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s372860458,29-Jan-2024 22:30,3,3,4,4,2,3,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,4,2.5,6,1
s372860458,29-Jan-2024 17:30,6,1,4,4,3,4,2,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3.5,4,3.5,1.5,6
s372860458,01-Feb-2024 15:00,5,1,4,7,5,4,6,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,3,5.5,4.5,3.5,2
s372860458,27-Jan-2024 20:00,1,1,4,4,7,5,3,2,5,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1,4,6,2.5,5
s372860458,29-Jan-2024 12:30,1,1,4,7,5,3,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,5.5,4,3,2.5
s372860458,28-Jan-2024 15:00,2,1,4,4,1,2,5,2,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1.5,4,1.5,3.5,3.5
s372860458,01-Feb-2024 20:00,1,1,4,4,7,5,5,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,4,6,3,5
s372860458,28-Jan-2024 17:30,5,2,4,6,3,4,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.5,5,3.5,3.5,1
s372860458,26-Jan-2024 20:00,1,1,4,4,3,6,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1,4,4.5,2,2
s372860458,26-Jan-2024 10:00,5,1,6,6,6,6,6,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,6,6,4,2.5
s372860458,28-Jan-2024 20:00,5,3,5,7,3,2,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,6,2.5,4,2
s372860458,27-Jan-2024 15:00,3,1,6,6,6,5,3,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,6,5.5,2,3.5
s372860458,31-Jan-2024 17:30,1,1,4,4,6,5,6,2,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,4,5.5,4,4
s372860458,26-Jan-2024 17:30,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1,1,1,1,1
s372860458,27-Jan-2024 12:30,1,1,4,4,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1,4,2.5,1,1
s372860458,27-Jan-2024 22:30,1,1,4,4,7,6,3,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,4,6.5,2,5.5
s372860458,01-Feb-2024 17:30,3,1,7,7,3,3,7,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,7,3,4,1.5
s372860458,27-Jan-2024 17:30,5,1,6,6,7,6,2,1,3,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,6,6.5,1.5,4
s372860458,28-Jan-2024 12:30,3,1,7,7,3,5,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,2,7,4,1.5,1.5
s372860458,28-Jan-2024 22:30,1,1,4,4,1,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1,4,2.5,1,2.5
s372860458,30-Jan-2024 15:00,5,2,4,6,3,4,3,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,5,3.5,4,4.5
s372860458,31-Jan-2024 20:00,6,2,7,6,7,5,3,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,6.5,6,2,5
s372860458,29-Jan-2024 10:00,5,1,4,4,1,1,5,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,3,4,1,5,1.5
s372860458,29-Jan-2024 20:00,1,1,5,4,6,5,3,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,4.5,5.5,2,5
s372860458,29-Jan-2024 15:00,5,1,4,4,3,3,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,4,3,3,3
s372860458,26-Jan-2024 12:30,6,1,5,7,5,3,6,3,5,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,3.5,6,4,4.5,4.5
s372860458,26-Jan-2024 22:30,2,1,3,4,5,5,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,1.5,3.5,5,2,2
s372860458,30-Jan-2024 17:30,2,1,4,7,4,3,6,5,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,1.5,5.5,3.5,5.5,2.5
s372860458,31-Jan-2024 12:30,5,5,5,7,2,5,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,5,6,3.5,3.5,3
s372860458,30-Jan-2024 22:30,4,2,4,4,5,5,5,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,3,4,5,3,1.5
