PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s453304968,31-Jan-2024 22:30,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,4,4,4
s453304968,25-Jan-2024 17:20,2,4,4,4,1,1,6,2,2,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,3,4,1,4,4
s453304968,31-Jan-2024 12:30,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,4,4,4,4
s453304968,31-Jan-2024 17:30,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4
s453304968,26-Jan-2024 22:30,6,6,5,6,5,4,4,3,4,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,6,5.5,4.5,3.5,4
s453304968,29-Jan-2024 15:00,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,4,4,4
s453304968,27-Jan-2024 17:30,5,5,6,5,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5,5.5,3,4,4
s453304968,01-Feb-2024 17:30,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4,4,4,4,4
s453304968,27-Jan-2024 22:30,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4
s453304968,27-Jan-2024 12:30,1,3,4,4,1,3,6,4,5,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,0,2,4,2,5,4.5
s453304968,26-Jan-2024 17:30,1,4,4,4,1,4,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,2.5,4,2.5,4,5.5
s453304968,01-Feb-2024 15:00,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4
s453304968,29-Jan-2024 17:30,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4
s453304968,27-Jan-2024 15:00,2,5,4,4,4,4,5,4,5,4,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.5,4,4,4.5,4.5
s453304968,28-Jan-2024 10:00,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4
s453304968,28-Jan-2024 20:00,6,5,4,4,5,2,5,3,4,6,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,5.5,4,3.5,4,5
s453304968,30-Jan-2024 22:30,4,3,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,4,4,4,4
s453304968,28-Jan-2024 22:30,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,4,4,4
s453304968,30-Jan-2024 15:00,4,3,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,4,4,4,4
s453304968,26-Jan-2024 20:00,5,5,4,4,1,2,3,2,5,5,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,5,4,1.5,2.5,5
s453304968,28-Jan-2024 17:30,4,3,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,4,4,4,4
s453304968,01-Feb-2024 10:00,4,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4
s453304968,01-Feb-2024 20:00,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4
s453304968,29-Jan-2024 12:30,5,5,5,5,5,5,3,4,6,4,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,5,5,5,3.5,5
s453304968,29-Jan-2024 22:30,4,4,4,4,4,4,4,4,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4,4,4.5
s453304968,31-Jan-2024 20:00,4,4,4,4,3,4,4,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,3.5,4,3.5
