PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s471133756,31-Jan-2024 10:00,5,3,6,7,6,6,5,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4,6.5,6,3,5
s471133756,29-Jan-2024 22:30,1,1,3,2,1,3,6,3,2,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,0,1,2.5,2,4.5,1.5
s471133756,29-Jan-2024 12:30,5,4,4,4,3,4,5,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.5,4,3.5,4,4
s471133756,26-Jan-2024 10:00,2,5,2,3,4,4,5,2,5,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3.5,2.5,4,3.5,3
s471133756,30-Jan-2024 15:00,6,6,4,6,3,4,6,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,5,3.5,5,3
s471133756,28-Jan-2024 22:30,4,4,4,4,6,4,4,4,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,4,4,5,4,2.5
s471133756,28-Jan-2024 12:30,1,1,4,4,6,4,3,3,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,1,4,5,3,3.5
s471133756,28-Jan-2024 10:00,1,1,1,1,5,4,1,1,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,1,1,4.5,1,2.5
s471133756,27-Jan-2024 17:30,1,3,4,4,6,4,4,2,7,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,4,5,3,4
s471133756,27-Jan-2024 15:00,4,3,4,4,6,3,4,3,4,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3.5,4,4.5,3.5,3
s471133756,27-Jan-2024 20:00,1,2,4,4,6,4,4,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,1.5,4,5,4.5,2.5
s471133756,27-Jan-2024 10:00,6,4,5,6,5,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,5,5.5,4.5,2,1.5
s471133756,26-Jan-2024 15:00,1,1,1,4,6,2,5,2,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,1,2.5,4,3.5,3
s471133756,25-Jan-2024 17:20,4,3,4,3,4,3,3,4,4,3,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3.5,3.5,3.5,3.5,3.5
s471133756,31-Jan-2024 22:30,4,4,6,6,5,5,6,1,4,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,4,6,5,3.5,5
