PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s589792267,30-Jan-2024 20:00,5,5,5,3,3,3,4,5,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,5,4,3,4.5,5
s589792267,30-Jan-2024 10:00,5,5,6,3,2,4,3,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4.5,3,2.5,3.5
s589792267,27-Jan-2024 12:30,4,5,5,5,5,5,5,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4.5,5,5,4.5,5
s589792267,28-Jan-2024 12:30,4,5,4,4,6,6,4,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,4,6,4,3
s589792267,27-Jan-2024 17:30,4,3,4,4,4,4,4,5,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,4,4,4.5,4
s589792267,25-Jan-2024 10:00,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,4,4,4
s589792267,31-Jan-2024 17:30,3,5,4,4,4,5,3,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4,4,4.5,2.5,5
s589792267,26-Jan-2024 10:00,4,6,3,6,7,4,4,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,4.5,5.5,3.5,3.5
s589792267,31-Jan-2024 20:00,6,4,2,3,5,5,2,3,3,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,5,2.5,5,2.5,4.5
s589792267,31-Jan-2024 10:00,6,4,6,2,3,6,5,6,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,4,4.5,5.5,4
s589792267,25-Jan-2024 12:30,4,4,4,4,4,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4,4,4
s589792267,29-Jan-2024 10:00,4,3,5,5,3,2,3,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,5,2.5,4,4.5
s589792267,29-Jan-2024 20:00,6,3,4,5,4,2,4,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.5,4.5,3,4,4.5
s589792267,30-Jan-2024 17:30,2,5,3,3,4,6,3,4,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.5,3,5,3.5,5
s589792267,30-Jan-2024 12:30,6,5,6,4,4,2,3,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.5,5,3,2.5,3
s589792267,28-Jan-2024 15:00,2,3,2,4,2,6,2,3,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.5,3,4,2.5,5
s589792267,31-Jan-2024 12:30,4,5,4,2,3,3,6,4,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,3,3,5,4
s589792267,29-Jan-2024 15:00,7,3,3,5,7,4,6,3,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,4,5.5,4.5,5
s589792267,26-Jan-2024 12:30,5,5,4,5,5,5,3,3,5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4.5,5,3,4
s589792267,01-Feb-2024 12:30,3,3,5,2,4,6,6,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,3.5,5,4.5,3.5
s589792267,26-Jan-2024 15:00,5,5,5,4,4,3,5,3,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,5,4.5,3.5,4,5
s589792267,27-Jan-2024 10:00,2,5,4,4,1,5,4,3,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,0,3.5,4,3,3.5,3.5
s589792267,28-Jan-2024 10:00,2,4,4,3,4,4,4,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,3.5,4,4.5,4.5
s589792267,28-Jan-2024 20:00,4,5,4,5,6,4,4,3,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,4.5,5,3.5,4
s589792267,01-Feb-2024 15:00,5,5,3,4,3,6,5,4,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,3.5,4.5,4.5,4.5
s589792267,29-Jan-2024 17:30,6,2,2,3,4,3,6,3,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2.5,3.5,4.5,5.5
s589792267,31-Jan-2024 15:00,3,2,2,5,2,4,5,5,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.5,3.5,3,5,4
s589792267,01-Feb-2024 20:00,3,2,5,3,3,6,3,2,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.5,4,4.5,2.5,4
s589792267,01-Feb-2024 10:00,6,4,5,2,6,4,5,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,3.5,5,4,3
s589792267,28-Jan-2024 17:30,4,2,6,4,2,4,2,5,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,5,3,3.5,3.5
s589792267,26-Jan-2024 20:00,6,5,4,7,5,4,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5.5,5.5,4.5,3,5
